2025-01-13 03:31:24 INFO  [Thread-191] c.m.dados.CheckSincronia - Verificando tabela: registralimpeza
2025-01-13 03:31:24 INFO  [Thread-191] c.m.dados.CheckSincronia - Verificando tabela: registralocado
2025-01-13 03:31:24 INFO  [Thread-191] c.m.dados.CheckSincronia - Verificando tabela: registramanutencao
2025-01-13 03:31:24 INFO  [Thread-191] c.m.dados.CheckSincronia - Verificando tabela: registrareserva
2025-01-13 03:31:24 INFO  [Thread-191] c.m.dados.CheckSincronia - Verificando tabela: registravendido
2025-01-13 03:31:24 INFO  [Thread-191] c.m.dados.CheckSincronia - Verificando tabela: status
2025-01-13 03:31:24 INFO  [Thread-191] c.m.dados.CheckSincronia - Sincronismo verificado com sucesso!
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: alarmes
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: antecipado
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: caixa
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: configuracoes
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: desistencia
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: funcionario
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: imagens
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: justificativa
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: prevendidos
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: produtos
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: quartos
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: registralimpeza
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: registralocado
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: registramanutencao
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: registrareserva
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: registravendido
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Verificando tabela: status
2025-01-13 04:31:24 INFO  [Thread-192] c.m.dados.CheckSincronia - Sincronismo verificado com sucesso!
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: alarmes
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: antecipado
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: caixa
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: configuracoes
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: desistencia
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: funcionario
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: imagens
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: justificativa
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: prevendidos
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: produtos
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: quartos
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: registralimpeza
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: registralocado
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: registramanutencao
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: registrareserva
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: registravendido
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Verificando tabela: status
2025-01-13 05:31:24 INFO  [Thread-193] c.m.dados.CheckSincronia - Sincronismo verificado com sucesso!
2025-01-13 06:30:12 INFO  [AWT-EventQueue-0] com.motelinteligente.dados.fquartos - Registro inserido com sucesso: ID = 4547, Quarto = 2
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: alarmes
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: antecipado
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: caixa
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: configuracoes
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: desistencia
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: funcionario
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: imagens
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: justificativa
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: prevendidos
2025-01-13 06:31:24 INFO  [Thread-196] c.m.dados.CheckSincronia - Verificando tabela: produtos
